method,m,l2_penalty,image,per_pixel_error,latent_norm
vae-30,50,0.01,4,0.003177917267954485,4.931219100952148
vae-30,50,0.01,5,0.007066122158826152,7.525005340576172
vae-30,50,0.01,6,0.010464585820913438,7.767236709594727
vae-30,50,0.01,7,0.003983531507797427,5.528659343719482
vae-30,50,0.01,8,0.03662384333452974,7.70443868637085
vae-30,50,0.01,9,0.005916391821718867,7.813549041748047
vae-30,50,0.1,0,0.0033540083187465733,3.5618278980255127
vae-30,50,0.1,1,0.062456062301003715,4.184963703155518
vae-30,50,0.1,2,0.015120283421954707,3.985159397125244
vae-30,50,0.1,3,0.004209180619260299,3.7152600288391113
vae-30,50,0.1,4,0.0034543894191580954,2.709711790084839
vae-30,50,0.1,5,0.008359362181456192,4.043043613433838
vae-30,50,0.1,6,0.01434402777033997,4.081547737121582
vae-30,50,0.1,7,0.003319290405734635,3.4658286571502686
vae-30,50,0.1,8,0.038123251845560764,4.944548606872559
vae-30,50,0.1,9,0.006075086635157095,4.614124774932861
vae-30,50,1.0,0,0.005560217700300792,2.6611297130584717
vae-30,50,1.0,1,0.06541173932292607,2.666531562805176
vae-30,50,1.0,2,0.012018720710438647,3.124023675918579
vae-30,50,1.0,3,0.006179204996780527,3.0663251876831055
vae-30,50,1.0,4,0.004662669334603812,1.9925144910812378
vae-30,50,1.0,5,0.022774199821707426,2.676832675933838
vae-30,50,1.0,6,0.029423470687646395,2.7206270694732666
vae-30,50,1.0,7,0.004617150308704822,1.9958783388137817
vae-30,50,1.0,8,0.05422775378374532,2.834299087524414
vae-30,50,1.0,9,0.01806286504282224,2.8987183570861816
fcvae-20,50,0.0,0,0.003696155394767512,12.513736724853516
fcvae-20,50,0.0,1,0.06811801956728576,10.58814525604248
fcvae-20,50,0.0,2,0.005990766868458344,10.815106391906738
fcvae-20,50,0.0,3,0.003378709478285137,6.629103183746338
fcvae-20,50,0.0,4,0.004456476302922771,4.840214252471924
fcvae-20,50,0.0,5,0.008524744314629977,5.813845157623291
fcvae-20,50,0.0,6,0.026552937066657453,6.743410110473633
fcvae-20,50,0.0,7,0.002258657925596558,6.477877616882324
fcvae-20,50,0.0,8,0.014644199646459856,8.028287887573242
fcvae-20,50,0.0,9,0.007420895977347049,10.592646598815918
fcvae-20,50,0.01,0,0.004736171478518611,8.9368314743042
fcvae-20,50,0.01,1,0.0655578043860956,9.40533447265625
fcvae-20,50,0.01,2,0.006805606704250625,9.121838569641113
fcvae-20,50,0.01,3,0.003628745638674632,6.482234001159668
fcvae-20,50,0.01,4,0.004167379627797552,3.950758457183838
fcvae-20,50,0.01,5,0.007842023910259772,6.2888288497924805
fcvae-20,50,0.01,6,0.026303767873807924,5.995704174041748
fcvae-20,50,0.01,7,0.0020757651729387634,4.667244911193848
fcvae-20,50,0.01,8,0.014376966340986688,6.923611640930176
fcvae-20,50,0.01,9,0.006482592683015119,7.701050281524658
fcvae-20,50,0.1,0,0.0042612224529518785,4.284654140472412
fcvae-20,50,0.1,1,0.05804835582307259,5.611631870269775
fcvae-20,50,0.1,2,0.010499114682188402,4.454671382904053
fcvae-20,50,0.1,3,0.004191844409169361,4.101383209228516
fcvae-20,50,0.1,4,0.00403244618365781,3.036942720413208
fcvae-20,50,0.1,5,0.008779076247618001,3.384345054626465
fcvae-20,50,0.1,6,0.014660418097979466,5.12631368637085
fcvae-20,50,0.1,7,0.00268864812959394,2.3011529445648193
fcvae-20,50,0.1,8,0.014545938855049166,4.046019077301025
fcvae-20,50,0.1,9,0.006154836858409682,5.007036209106445
fcvae-20,50,1.0,0,0.007024914668390354,2.3054144382476807
